,IdEncuesta,IdPersona,IdSexo,folio_nino,IdCuidador,FechaInicioF4,Region,Zona,IdSegmento,edad,fecha_nacimiento,des2,des2_esp,des2_esp_sinCodificar,des3,des3_esp,des3_esp_sinCodificar,des4,des11_1,des11_2,des11_3,des11_4,des11_5,des5_1,des5_2,des5_3,des5_4,des5_5,des6_1,des6_2,des6_3,des6_4,des6_5,des6_6,des6_7,des6_8,des7_1,des7_2,des7_3,des7_4,des7_5,des7_6,des7_7,des8_1,des8_2,des8_3,des8_4,des8_5,des9_1,des9_2,des9_3,des9_4,des9_5,des9_6,des9_7,des9_8,des9_9,des10,des10a,SexoCuidador,EdadCuidador,NEDUCuidador,Conglomerado,Estrato,Fexp_F4p_Corr,Edad_nino_meses,edad_nino_ano,Tramo_edad,Fexp_F4p_Corr_MINSAL1_trunc,Fexp_F4p_Corr_MINSAL2,Fexp_F4p_Corr_MINSAL2_trunc,NEDU1_MINSAL_2,rezago,retraso,estado_menor
581,26089.0,35.0,1.0,2608901.0,31.0,13696894409.0,9.0,1.0,7301107.0,2.0,13608345600.0,1.0,,,8.0,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,,2.0,40.0,3.0,7301107.0,71.0,2436.5302734375,33.0,2.0,4.0,2435.604736,2420.844482,2434.291992,3.0,1.0,1.0,3.0
582,26093.0,28.0,1.0,2609301.0,27.0,13696188020.0,9.0,1.0,7301107.0,3.0,13599619200.0,7.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,2.0,37.0,,7301107.0,71.0,853.3697509765625,36.0,3.0,5.0,849.3273315,866.1156616,867.7043457,3.0,1.0,0.0,2.0
583,26105.0,60.0,2.0,2610502.0,56.0,13698678039.0,9.0,1.0,7304101.0,1.0,13656297600.0,2.0,,,1.0,,,4.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,27.0,2.0,7304101.0,71.0,82.51081848144531,16.0,1.0,3.0,87.87054443,93.3797226,103.5016556,2.0,1.0,0.0,2.0
584,26105.0,61.0,1.0,2610503.0,56.0,13698678290.0,9.0,1.0,7304101.0,4.0,13549680000.0,2.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,27.0,2.0,7304101.0,71.0,56.91010284423828,56.0,4.0,6.0,56.81697845,56.70021439,56.80036163,2.0,0.0,1.0,3.0
585,26108.0,55.0,1.0,2610801.0,53.0,13698533053.0,9.0,1.0,7304101.0,1.0,13666492800.0,1.0,,,1.0,,,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,26.0,3.0,7304101.0,71.0,82.51081848144531,12.0,1.0,3.0,87.87054443,93.3797226,103.5016556,2.0,1.0,0.0,2.0
586,26110.0,15.0,2.0,2611001.0,11.0,13697482436.0,9.0,1.0,7304102.0,2.0,13620960000.0,1.0,,,1.0,,,3.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,20.0,,7304102.0,71.0,1369.8216552734375,29.0,2.0,4.0,1380.17395,1371.809937,1379.430054,2.0,0.0,0.0,1.0
587,26135.0,51.0,2.0,2613501.0,48.0,13696713238.0,9.0,1.0,7401103.0,2.0,13621305600.0,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,30.0,2.0,7401103.0,71.0,4436.3232421875,28.0,2.0,4.0,4469.547363,4750.949707,4760.863281,3.0,0.0,0.0,1.0
588,26142.0,9.0,1.0,2614201.0,5.0,13695588567.0,9.0,1.0,7401104.0,3.0,13594176000.0,2.0,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,41.0,2.0,7401104.0,71.0,2138.383056640625,38.0,3.0,5.0,2138.813477,2140.846436,2143.717529,2.0,0.0,0.0,1.0
589,26144.0,30.0,1.0,2614401.0,27.0,13695908826.0,9.0,1.0,7401104.0,1.0,13648867200.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,44.0,3.0,7401104.0,71.0,1034.1461181640625,17.0,1.0,3.0,1039.010498,1087.143799,1089.100342,2.0,0.0,0.0,1.0
590,26152.0,85.0,2.0,2615201.0,83.0,13697726908.0,9.0,1.0,7404101.0,3.0,13598150400.0,1.0,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,2.0,43.0,3.0,7404101.0,71.0,578.68505859375,37.0,3.0,5.0,585.1677856,596.7344971,597.8291016,2.0,0.0,0.0,1.0
